organisation	address	telephone	email	coords	place	is_anonymous	website	appointment	free	day	hour	daypart
Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com		Brussels		http://www.aideinfosida.be/tests_ais.php	no	yes	Monday	18h - 21h	afternoon
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Friday	9h - 12h	morning
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Friday	12h30 - 18h	afternoon
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Monday	9h - 12h	morning
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Monday	12h30 - 18h	afternoon
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Saturday	9h30 - 12h30	morning
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Thursday	9h - 12h	morning
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Thursday	12h30 - 18h	afternoon
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Tuesday	9h - 12h	morning
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Tuesday	12h30 - 18h	afternoon
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Wednesday	9h - 12h	morning
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31			Brussels	yes	http://www.aimeralulb.be/	yes	no	Wednesday	12h30 - 18h	afternoon
Alias	Rue du Marché au charbon 33, Brussels	0485 547 278 (Aure)	aure@alias-bru.be		SexBru		http://www.alias-bru.be/permanence-medicale/	no	yes	Tuesday	19h - 21h	afternoon
ARC UZ VUB Brussels	Laarbeeklaan 101, 1090 Brussels	02 477 60 12	afspraak_dermatologie@uzBrussels.be		Brussels		https://www.uzBrussels.be/web/dermatologie/in-het-uz-Brussels	yes	no	Tuesday	13h-17h30	afternoon
ARC UZ VUB Brussels	Laarbeeklaan 101, 1090 Brussels	02 477 60 12	afspraak_dermatologie@uzBrussels.be		Brussels		https://www.uzBrussels.be/web/dermatologie/in-het-uz-Brussels	yes	no	Thursday	8h - 12h	morning
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	3/7: 14h30 - 16h30	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	17/7: 18h - 20h	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	31/7: 14h30 - 16h30	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	14/8: 18h - 20h	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	28/8: 14h30 - 16h30	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	11/9: 18h - 20h	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	25/9: 14h30 - 16h30	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	9/10: 18h - 20h	afternoon
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be		SexAnt		http://www.boysproject.be/en/offer/TESTING	no	yes	Wednesday	23/10: 14h30 - 16h30	afternoon
Collectif Contraception	Av. des Celtes 50, 1040 Brussels	02 736 13 14	etterbeekcc@planningfamilial.net		Brussels		http://collectifcontraception.be/?id=20	yes	no	Tuesday	13h - 17h	afternoon
Collectif Contraception	Av. des Celtes 50, 1040 Brussels	02 736 13 14	etterbeekcc@planningfamilial.net		Brussels		http://collectifcontraception.be/?id=20	yes	no	Wednesday	13h30 - 18h30	afternoon
CPF Aimer Jeunes	Rue Saint-Jean Népomucène 28, 1000 Brusselss	02 511 32 20	aimer.jeunes@skynet.be		Brussels	yes	http://aimer-jeunes.be/?Permanences-medicales-et	yes	no	Monday	14h - 16h	afternoon
CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95			Brussels		http://www.bureauxdequartiers.be/	yes	no	Wednesday	16h45 - 18h30	afternoon
CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95			Brussels		http://www.bureauxdequartiers.be/	yes	no	Thursday	16h00 - 17h45	afternoon
CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95			Brussels		http://www.bureauxdequartiers.be/	yes	no	Friday	15h00 - 16h45	afternoon
CPF du Midi	Avenue Clemenceau 23, 1070 Brussels	02 511 38 38			Brussels			yes	yes	Wednesday	12h - 18h	afternoon
CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be		Brussels		http://www.lentrela.be/-Planning-Familial-d-Evere-127-	yes	no	Monday	16h - 17h	afternoon
CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be		Brussels		http://www.lentrela.be/-Planning-Familial-d-Evere-127-	no	no	Monday	17h - 18h	afternoon
CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be		Brussels		http://www.lentrela.be/-Planning-Familial-d-Evere-127-	yes	no	Wednesday	14h - 16h	afternoon
CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be		Brussels		http://www.lentrela.be/-Planning-Familial-d-Evere-127-	yes	no	Wednesday	16h - 17h	afternoon
CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net		Brussels			no	no	Wednesday	13h30 - 17h30	afternoon
CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net		Brussels			yes	no	Monday	13h30 - 17h30	afternoon
CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net		Brussels			yes	no	Tuesday	13h30 - 17h30	afternoon
CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net		Brussels			yes	no	Thursday	13h30 - 17h30	afternoon
CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net		Brussels			yes	no	Friday	13h30 - 17h30	afternoon
CPF Jette	Rue Léon Théodor 108, 1090 Brussels	02 426 06 27			Brussels			no	yes	Tuesday	17h - 19h	afternoon
CPF Laken	Boulevard Émile Bockstael 91, 1020 Brussels	02 325 46 40	laeken@planningfamilial.net		Brussels		http://www.planninglaeken.be/contact/	yes	no	Thursday	9h - 12h	morning
CPF Laken	Boulevard Émile Bockstael 91, 1020 Brussels	02 325 46 40	laeken@planningfamilial.net		Brussels		http://www.planninglaeken.be/contact/	yes	no	Friday	12h - 18h	afternoon
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=5	yes	no	Tuesday	9h - 12h	morning
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=6	yes	no	Tuesday	12h30 - 17h	afternoon
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=7	yes	no	Wednesday	13h - 19h	afternoon
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=8	yes	no	Thursday	9h - 12h	morning
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=9	yes	no	Thursday	12h30 - 18h	afternoon
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=10	yes	no	Friday	9h - 12h	morning
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30			Brussels		https://www.guidesocial.be/planningleman/?page=11	yes	no	Friday	12h30 - 17h	afternoon
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Monday	9h - 12h	morning
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Tuesday	9h - 12h	morning
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Wednesday	9h - 12h	morning
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Thursday	9h - 12h	morning
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Friday	9h - 12h	morning
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Monday	12h30 - 17h30	afternoon
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Tuesday	12h30 - 17h30	afternoon
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27			Brussels			no	yes	Wednesday	12h30 - 17h30	afternoon
