organisation	address	telephone	email	coords	place	is_anonymous	website_url	appointment_url	extra_info	on_appointment	free
S-Clinic	Rue des Alexiens 13, 1000 Brussels	02 535 37 32		{ "lat": 50.8433062, "lng": 4.3476145 }	Brussels	yes	https://www.stpierre-bru.be/fr/services-medicaux/maladies-infectieuses-2/s-clinic/en-bref-332	https://www.stpierre-bru.be/fr/consultations/prendre-un-rendez-vous	Hospital	yes	no
Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		{ "lat": 50.8433924, "lng": 4.3494567 }	Brussels	yes	https://www.stpierre-bru.be/fr/services-medicaux/maladies-infectieuses-2/centre-elisa-vih/en-bref-331	https://www.stpierre-bru.be/nl/raadplegingen/een-afspraak-maken	Wednesday afternoon only for 15-29 year	no	yes
CPF Midi	Avenue Clemenceau 23, 1070 Bruxelles	02 511 38 38	accueil@cpfmidi.be	{ "lat": 50.8460974, "lng": 4.3315067 }	Brussels	yes	https://www.cpfmidi.be/consultations-medicales/		fast hiv test is free, anonymous and no appointment	yes	yes
Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	{ "lat": 50.8133637, "lng": 4.265565 }	Brussels	yes	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida	https://www.erasme.ulb.ac.be/fr/formulaires/formulaire-rendez-vous-en-ligne		yes	no
Aide Info Sida	Rue Duquesnoy 45, 1000 Brussels	02 514 29 65	aide.info.sida@gmail.com	{ "lat": 50.8448468, "lng": 4.3532802 }	Brussels	yes	http://www.aideinfosida.be/tests_ais.php		only the 2nd and 4th monday of the month. Check the website for more info.	no	yes
Aimer à L’ULB	Avenue Jeanne 38, Brussels	02 650 31 31		{ "lat": 50.8151813, "lng": 4.3807739 }	Brussels	yes	http://www.aimeralulb.be/		saturdays: only last two of the month. Only appointments by telephone.		
HRC UZ VUB Brussels	Laarbeeklaan 101, 1090 Brussels	02 477 60 01	afspraak_infectiologie@uzbrussel.be	{ "lat": 50.8878094, "lng": 4.3086096 }	Brussels	no	https://www.uzbrussel.be/web/infectiologie/afspraak-maken	https://www.uzbrussel.be/web/infectiologie/afspraak-maken	Hospital		
Collectif Contraception	Av. des Celtes 50, 1040 Brussels	02 736 13 14	etterbeekcc@planningfamilial.net	{ "lat": 50.8378962, "lng": 4.394949 }	Brussels	yes	http://collectifcontraception.be/?id=20				
CPF Aimer Jeunes	Rue Saint-Jean Népomucène 28, 1000 Brusselss	02 511 32 20	aimer.jeunes@skynet.be	{ "lat": 50.855707, "lng": 4.3510533 }	Brussels	yes	http://aimer-jeunes.be/?Permanences-medicales-et				
CPF Bureaux de Quartiers	Rue du Noyer 344,1030 Bruxelles	02 733 43 95	planning.bq@gmail.com	{ "lat": 50.843787, "lng": 4.395993 }	Brussels	yes	http://www.bureauxdequartiers.be/				
CPF Evere	rue Adolphe De Brandt 70 , 1140 Brussels	02 216 20 04	planning.familial.evere@brutele.be	{ "lat": 50.8695816, "lng": 4.3993141 }	Brussels	yes	https://www.guidesocial.be/pf-evere/?page=3				
CPF Ixelles	rue du Vivier 89, Brussels	02 646 42 73	ixelles.cps@belgacom.net	{ "lat": 50.8324886, "lng": 4.3780235 }	Brussels	yes	http://www.planningixelles.be/index.php/fr/consultations-fr/medical-fr				
CPF Jette	Rue Léon Théodor 108, 1090 Brussels	02 426 06 27	info@planningdejette.be	{ "lat": 50.875984, "lng": 4.325237 }	Brussels	yes	https://www.planningdejette.be/services/consultation-medicale-2/		Free fast hiv test, every day with appointment		
CPF Laken	Boulevard Émile Bockstael 91, 1020 Brussels	02 325 46 40	laeken@planningfamilial.net	{ "lat": 50.8727979, "lng": 4.3458957 }	Brussels	yes	http://www.planninglaeken.be/contact/				
CPF Leman	rue Général Leman 110, 1040 Brussels	02 230 10 30	info@pfleman.be	{ "lat": 50.8368743, "lng": 4.3839864 }	Brussels	yes	https://www.guidesocial.be/planningleman/?page=6				
CPF Plan F	Rue des Guildes 22, 1000 Brussels	02 230 04 62	info@planf.be	{ "lat": 50.848778, "lng": 4.37461 }	Brussels	yes	http://www.planf.be/Horaires				
