organisation	day	hour	on_appointment	free
Action Test	Monday	17h45 - 19h45	no	yes
Aide Info Sida	Monday	18h - 21h	no	yes
Aimer à L’ULB	Friday	9h - 12h	yes	no
Aimer à L’ULB	Friday	12h30 - 18h	yes	no
Aimer à L’ULB	Monday	9h - 12h	yes	no
Aimer à L’ULB	Monday	12h30 - 18h	yes	no
Aimer à L’ULB	Saturday	9h30 - 12h30	yes	no
Aimer à L’ULB	Thursday	9h - 12h	yes	no
Aimer à L’ULB	Thursday	12h30 - 18h	yes	no
Aimer à L’ULB	Tuesday	9h - 12h	yes	no
Aimer à L’ULB	Tuesday	12h30 - 18h	yes	no
Aimer à L’ULB	Wednesday	9h - 12h	yes	no
Aimer à L’ULB	Wednesday	12h30 - 18h	yes	no
Alias	Tuesday	19h - 21h	no	yes
HRC UZ VUB Brussels	Tuesday	13h-17h30	yes	no
HRC UZ VUB Brussels	Thursday	8h - 12h	yes	no
Boysproject	Wednesday	14h30 - 16h30	no	yes
Boysproject	Wednesday	18h - 20h	no	yes
CPF Aimer Jeunes	Monday	14h - 16h	yes	no
CPF Aimer Jeunes	Tuesday	13h - 15h	yes	no
CPF Aimer Jeunes	Wednesday	14h - 18h	yes	no
CPF Aimer Jeunes	Thursday	10h - 12h	yes	no
CPF Aimer Jeunes	Friday	14h30 - 16h30	yes	no
CPF Bureaux de Quartiers	Wednesday	16h45 - 18h30	no	no
CPF Bureaux de Quartiers	Thursday	16h00 - 17h45	no	no
CPF Bureaux de Quartiers	Friday	15h00 - 16h45	no	no
CPF Evere	Monday	16h - 17h	yes	no
CPF Evere	Monday	17h - 18h	no	no
CPF Evere	Wednesday	14h - 16h	yes	no
CPF Evere	Wednesday	16h - 17h	no	no
CPF Ixelles	Wednesday	12h30 - 16h30	no	no
CPF Ixelles	Monday	13h30 - 17h30	yes	no
CPF Ixelles	Tuesday	14h - 17h30	yes	no
CPF Ixelles	Thursday	12h50 - 15h30	yes	no
CPF Ixelles	Friday	12h30 - 18h	yes	no
CPF Ixelles	Friday	10h - 12h30	yes	no
CPF Jette	Tuesday	15h - 19h	yes	no
CPF Jette	Wednesday	10h - 12h30h	yes	no
CPF Jette	Wednesday	13h - 15h	yes	no
CPF Jette	Thursday	13h - 18h	yes	no
CPF Laken	Thursday	13h30 - 15h30	yes	no
CPF Laken	Friday	9h30 - 13h30	yes	no
CPF Leman	Tuesday	13h - 16h	yes	no
CPF Leman	Friday	14h - 17h	yes	no
CPF Marolles	Tuesday	9h - 13h	yes	no
CPF Marolles	Wednesday	9h - 12h	yes	no
CPF Marolles	Thursday	9h - 12h	yes	no
CPF Marolles	Friday	9h - 12h	yes	no
CPF Marolles	Tuesday	14h - 17h30	yes	no
CPF Marolles	Wednesday	12h - 17h	yes	no
CPF Marolles	Thursday	12h - 19h	yes	no
CPF Marolles	Friday	12h - 13h	yes	no
CPF Midi	Wednesday	12h - 18h	yes	yes
CPF Plan F	Monday	9h - 12h	yes	no
CPF Plan F	Monday	15h - 18h	yes	no
CPF Plan F	Tuesday	9h - 13h	yes	no
CPF Plan F	Tuesday	14h - 18h	yes	no
CPF Plan F	Wednesday	9h30 - 12h30	yes	no
