place	appointment	free	day	daypart	hour	organisation	address	telephone	email	website
Brussels	yes	no	Tuesday	afternoon	13h30 - 16h	S-Clinic	Rue des Alexiens 13, 1000 Brussels	02 535 37 32		https://www.stpierre-bru.be/fr/consultations/prendre-un-rendez-vous
Brussels	yes	no	Friday	morning	8h30 - 11h	S-Clinic	Rue des Alexiens 13, 1000 Brussels	02 535 37 32		https://www.stpierre-bru.be/fr/consultations/prendre-un-rendez-vous
Brussels	yes	no	Saturday	afternoon	13h30 - 15h30	S-Clinic	Rue des Alexiens 13, 1000 Brussels	02 535 37 32		https://www.stpierre-bru.be/fr/consultations/prendre-un-rendez-vous
Brussels	yes	no	Monday	morning	9h - 12h	Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		https://www.stpierre-bru.be/nl/raadplegingen/een-afspraak-maken
Brussels	yes	no	Monday	afternoon	13h - 17h	Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		https://www.stpierre-bru.be/nl/raadplegingen/een-afspraak-maken
Brussels	yes	no	Wednesday	afternoon	13h - 17h	Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		https://www.stpierre-bru.be/nl/raadplegingen/een-afspraak-maken
Brussels	yes	no	Thursday	afternoon	13h -17h	Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		https://www.stpierre-bru.be/nl/raadplegingen/een-afspraak-maken
Brussels	no	no	Monday	afternoon	15u30 - 17h30	UCL Saint-Luc	Hippocrateslaan 10, 1200 Brussels	02 764 19 02		
Brussels	no	no	Wednesday	morning	11h - 13h	UCL Saint-Luc	Hippocrateslaan 10, 1200 Brussels	02 764 19 02		
Brussels	yes	no	Monday	morning	9h - 12h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Tuesday	morning	9h - 12h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Wednesday	morning	9h - 12h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Thursday	morning	9h - 12h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Friday	morning	9h - 12h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Monday	afternoon	13h - 17h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Tuesday	afternoon	13h - 17h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Wednesday	afternoon	13h - 17h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Thursday	afternoon	13h - 17h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Friday	afternoon	13h - 17h	Erasmusziekenhuis	Lenniksebaan 808, 1070 Brussels	02 555 4688	CRSida@erasme.ulb.ac.be	https://www.erasme.ulb.ac.be/fr/services-de-soins/services-multidisciplinaires/centre-de-reference-sida
Brussels	yes	no	Tuesday	afternoon	13h-17h30	ARC UZ VUB Brussels	Laarbeeklaan 101, 1090 Brussels	02 477 60 12	afspraak_dermatologie@uzBrussels.be	https://www.uzBrussels.be/web/dermatologie/in-het-uz-Brussels
Brussels	yes	no	Thursday	morning	8h - 12h	ARC UZ VUB Brussels	Laarbeeklaan 101, 1090 Brussels	02 477 60 12	afspraak_dermatologie@uzBrussels.be	https://www.uzBrussels.be/web/dermatologie/in-het-uz-Brussels
Brussels	no	yes	Wednesday	afternoon	19h - 21h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	no	yes	Thursday	afternoon	19h - 21h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Monday	morning	10h - 12h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Monday	afternoon	13h - 17h	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Tuesday	morning	10h - 12h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Tuesday	afternoon	13h - 17h	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Wednesday	morning	10h - 12h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Wednesday	afternoon	13h - 17h	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Thursday	morning	10h - 12h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Thursday	afternoon	13h - 17h	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Friday	morning	10h - 12h30	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	yes	yes	Friday	afternoon	13h - 17h	ex æquo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	www.exaequo.be
Brussels	no	no	Monday	morning	8h - 13h	Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		
Brussels	no	no	Wednesday	afternoon	12h15 - 15h	Elisa Centre (age 15 - 29)	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		
Brussels	no	no	Thursday	afternoon	15h30 - 19h	Elisa Centre	Cellebroersstraat 11, 1000 Brussels	02 535 30 03		
Brussels	no	no	Tuesday	afternoon	13h30 - 16h	S-Clinic	Rue des Alexiens 13, 1000 Brussels			
